date,fii_net_cr
2018-07-17,-673.99
2018-07-18,95.68
2018-07-19,-315.69
2018-07-20,310.27
2018-07-23,259.37
2018-07-24,104.34
2018-07-25,-1195.75
2018-07-26,2453.57
2018-07-27,738.05
2018-07-30,-234.04
2018-07-31,572.21
2018-08-01,-95.94
2018-08-02,-639.87
2018-08-03,-5.87
2018-08-06,248.7
2018-08-07,314.83
2018-08-08,568.63
2018-08-09,370.68
2018-08-10,-510.66
2018-08-13,-971.86
2018-08-14,-378.84
2018-08-16,-825.08
2018-08-17,147.31
2018-08-20,-483.04
2018-08-21,254.25
2018-08-23,433.21
2018-08-24,-75.78
2018-08-27,252.52
2018-08-28,-161.05
2018-08-29,-1415.87
2018-08-30,958.01
2018-08-31,-212.81
2018-09-03,-21.13
2018-09-04,32.64
2018-09-05,-383.67
2018-09-06,-455
2018-09-07,37.56
2018-09-10,-841.68
2018-09-11,-1454.36
2018-09-12,-1086.39
2018-09-14,1090.56
2018-09-17,-106.54
2018-09-18,-1143.73
2018-09-19,-2184.55
2018-09-21,760.7
2018-09-24,-523.94
2018-09-25,-1231.7
2018-09-26,-809.95
2018-09-27,552.44
2018-09-28,-1699.94
2018-10-01,-1841.63
2018-10-03,-1550.04
2018-10-04,-2760.63
2018-10-05,-3370.14
2018-10-08,-1805.07
2018-10-09,-1242.46
2018-10-10,-1096.05
2018-10-11,-2869.41
2018-10-12,-1322.13
2018-10-15,67.86
2018-10-16,-1165.63
2018-10-17,140.02
2018-10-19,-618.26
2018-10-22,-511.91
2018-10-23,-340.35
2018-10-24,-2046.54
2018-10-25,-1495.71
2018-10-26,-1356.66
2018-10-29,-2230.79
2018-10-30,-1592.02
2018-10-31,-193.65
2018-11-01,348.75
2018-11-02,-196.9
2018-11-05,12.34
2018-11-06,-499.71
2018-11-07,31.02
2018-11-09,614.14
2018-11-12,832.15
2018-11-13,-494.95
2018-11-14,277.38
2018-11-15,2043.06
2018-11-16,844.82
2018-11-19,1103.36
2018-11-20,-753.17
2018-11-21,-1652.04
2018-11-22,446.24
2018-11-26,62.74
2018-11-27,811.52
2018-11-28,961.26
2018-11-29,823.47
2018-11-30,-332.62
2018-12-03,293.12
2018-12-04,-55.89
2018-12-05,-357.82
2018-12-06,72.47
2018-12-07,-817.4
2018-12-10,116.22
2018-12-11,-2421.06
2018-12-12,-1299.43
2018-12-13,675.14
2018-12-14,861.94
2018-12-17,-60.95
2018-12-18,144.76
2018-12-19,1209.21
2018-12-20,-386.44
2018-12-21,134.14
2018-12-24,-577.1
2018-12-26,80.28
2018-12-27,1731.91
2018-12-28,-119.6
2018-12-31,-326.87
2019-01-01,-48.19
2019-01-02,-621.06
2019-01-03,-972.81
2019-01-04,-157.72
2019-01-07,736.18
2019-01-08,-553.78
2019-01-09,276.14
2019-01-10,-344.58
2019-01-11,-687.2
2019-01-14,-732.46
2019-01-15,159.6
2019-01-16,-90.1
2019-01-17,842.13
2019-01-18,-124.91
2019-01-21,-299.79
2019-01-22,-78.53
2019-01-23,-775.82
2019-01-24,-94.45
2019-01-25,689.28
2019-01-28,223.44
2019-01-29,-354.36
2019-01-30,130.25
2019-01-31,3006.41
2019-02-01,1315.89
2019-02-04,-112.13
2019-02-05,420.65
2019-02-06,694.97
2019-02-07,418.01
2019-02-08,843.73
2019-02-11,-125.05
2019-02-12,-466.78
2019-02-13,-676.63
2019-02-14,-250.23
2019-02-15,-966.43
2019-02-18,-1239.79
2019-02-19,-813.76
2019-02-20,713.47
2019-02-21,55.48
2019-02-22,6311.01
2019-02-25,2134.35
2019-02-26,1674.17
2019-02-27,423.04
2019-02-28,3210.6
2019-03-01,198.38
2019-03-05,751.92
2019-03-06,1130.78
2019-03-07,1137.85
2019-03-08,1095.06
2019-03-11,3810.6
2019-03-12,2477.72
2019-03-13,2722.28
2019-03-14,1482.99
2019-03-15,4323.49
2019-03-18,1822.99
2019-03-19,2132.36
2019-03-20,1771.61
2019-03-22,1374.57
2019-03-25,150.4
2019-03-26,999.02
2019-03-27,1481.11
2019-03-28,3594.51
2019-03-29,-86.21
2019-04-01,898.79
2019-04-02,543.36
2019-04-03,-1040.48
2019-04-04,-226.19
2019-04-05,797.9
2019-04-08,329.6
2019-04-09,1212.35
2019-04-10,1429.92
2019-04-11,476.51
2019-04-12,897.45
2019-04-15,713.22
2019-04-16,1038.58
2019-04-18,1038.46
2019-04-22,73.08
2019-04-23,-237.47
2019-04-24,974.88
2019-04-25,3785.73
2019-04-26,-70.73
2019-04-30,114.59
2019-05-02,597.54
2019-05-03,-400.68
2019-05-06,-948.98
2019-05-07,-645.08
2019-05-08,-701.5
2019-05-09,-655.36
2019-05-10,-1245.14
2019-05-13,-1056.01
2019-05-14,-2011.85
2019-05-15,-1142.44
2019-05-16,-953.23
2019-05-17,-1057.82
2019-05-20,1734.45
2019-05-21,1185.44
2019-05-22,-965.02
2019-05-23,1352.2
2019-05-24,2026.33
2019-05-27,1215.36
2019-05-28,-501.11
2019-05-29,-304.27
